LR;SV;DIST
0;109;2
0;61;2
0;96;2
0;91;2
0;51;4
0;51;4
0;51;4
0;122;4
1;5601;2
1;4458;2
1;3246;2
1;4365;2
1;4733;2
1;4259;2
1;4552;2
1;4927;2
1;5127;2
1;5111;2
1;5457;2
1;5787;2
1;6110;2
1;5427;2
1;4998;2
1;5724;2
1;4999;2
1;4586;2
1;5026;2
1;4906;2
1;5538;2
1;5805;2
1;5923;2
1;6167;2
1;5778;2
1;6309;2
1;6129;2
1;5968;2
1;6291;2
1;6220;2
1;6106;2
1;5791;2
1;5850;2
1;5645;2
1;5788;2
1;5542;2
1;5529;2
1;5371;2
1;5340;2
1;5272;2
1;4805;2
1;4588;2
1;5487;2
1;5455;2
1;5992;2
1;5803;2
1;6191;2
1;5990;2
1;6049;2
1;5827;2
1;5585;2
1;5932;2
1;5850;2
1;4781;2
1;4344;2
1;5102;2
1;5207;2
1;6087;2
1;5412;2
1;5859;2
1;6172;2
1;5670;2
1;5027;2
1;4449;2
1;5228;2
1;5428;2
1;4715;2
1;5323;2
1;5349;2
1;5570;2
1;5306;2
1;5847;2
1;6164;2
1;5496;2
1;4761;2
1;5786;2
1;6229;2
1;6035;2
1;5704;2
1;5581;2
1;5550;2
1;4737;2
1;3845;2
1;3765;2
1;4681;2
1;4949;2
1;5149;2
1;3903;2
1;3114;2
1;2344;2
1;2851;2
1;3694;2
1;4888;2
1;4165;2
1;5719;2
1;6066;2
1;4793;2
1;3042;2
1;3805;2
1;4513;2
1;3484;2
1;2804;2
2;5880;2
2;6264;2
2;6490;2
2;6186;2
2;5847;2
2;5381;2
2;5135;2
2;5093;2
2;5643;2
2;5490;2
2;5339;2
2;5261;2
2;5189;2
2;5938;2
2;6259;2
2;5367;2
2;5020;2
2;5561;2
2;5825;2
2;5518;2
2;5226;2
2;5898;2
2;5997;2
2;5641;2
2;6197;2
2;6147;2
2;6045;2
2;6227;2
2;6398;2
2;6043;2
2;6333;2
2;6388;2
2;6051;2
2;5722;2
2;5684;2
2;5668;2
2;6510;2
2;6335;2
2;6490;2
2;6406;2
2;6465;2
2;6375;2
2;5888;2
2;5022;2
2;4807;2
2;5957;2
2;6011;2
2;5671;2
2;5429;2
2;5078;2
2;5842;2
2;5423;2
2;5291;2
2;4881;2
2;6081;2
2;5887;2
2;5977;2
2;6072;2
2;5609;2
2;5861;2
2;5513;2
2;5452;2
2;4878;2
2;4993;2
2;4476;2
2;4800;2
2;5072;2
2;5178;2
2;5496;2
2;5764;2
2;4809;2
2;5150;2
2;6012;2
2;6177;2
2;5533;2
2;5988;2
2;5811;2
2;6059;2
2;5256;2
2;5383;2
2;5630;2
2;5715;2
2;4627;2
2;3631;2
2;4716;2
2;5355;2
2;5008;2
2;4577;2
2;5184;2
2;5598;2
2;6221;2
2;6002;2
2;5757;2
2;5217;2
2;5793;2
2;5626;2
2;5238;2
2;5135;2
2;5389;2
2;5074;2
2;5244;2
3;5915;2
3;6274;2
3;6014;2
3;5871;2
3;5987;2
3;6331;2
3;5999;2
3;6103;2
3;5660;2
3;6093;2
3;6454;2
3;6437;2
3;6000;2
3;6176;2
3;5732;2
3;5845;2
3;5784;2
3;5584;2
3;5099;2
3;5193;2
3;5746;2
3;5540;2
3;5112;2
3;5145;2
3;5486;2
3;5217;2
3;5608;2
3;5653;2
3;5056;2
3;5075;2
3;5186;2
3;5301;2
3;5095;2
3;5228;2
3;4968;2
3;5415;2
3;5090;2
3;4940;2
3;5095;2
3;5097;2
3;5229;2
3;6343;2
3;6082;2
3;5485;2
3;5136;2
3;5487;2
3;6279;2
3;5345;2
3;5747;2
3;5353;2
3;5504;2
3;6156;2
3;6055;2
3;6325;2
3;6437;2
3;6321;2
3;6211;2
3;6385;2
3;6461;2
3;6321;2
3;6066;2
3;5775;2
3;5959;2
3;5455;2
3;5818;2
3;5546;2
3;6037;2
3;6241;2
3;5544;2
3;5462;2
3;5416;2
3;5152;2
3;5551;2
3;5808;2
3;5976;2
3;6324;2
3;6057;2
3;5748;2
3;5842;2
3;6274;2
3;6703;2
3;6665;2
3;6173;2
3;6160;2
3;6004;2
3;6051;2
3;6159;2
3;6108;2
3;6158;2
3;6023;2
3;5466;2
3;5195;2
3;5788;2
3;5456;2
3;5176;2
3;5373;2
3;5369;2
3;6131;2
3;6093;2
3;6021;2
3;6329;2
3;6256;2
4;5826;2
4;5537;2
4;5612;2
4;5895;2
4;5942;2
4;6086;2
4;5492;2
4;5235;2
4;5314;2
4;5823;2
4;5398;2
4;6153;2
4;6518;2
4;6205;2
4;6437;2
4;6399;2
4;6078;2
4;6470;2
4;6146;2
4;5913;2
4;5891;2
4;5999;2
4;5898;2
4;6141;2
4;5949;2
4;5577;2
4;5467;2
4;5713;2
4;5538;2
4;5953;2
4;6033;2
4;6041;2
4;6260;2
4;5622;2
4;5831;2
4;5462;2
4;4818;2
4;4835;2
4;5135;2
4;5015;2
4;4998;2
4;4138;2
4;5087;2
4;5348;2
4;5231;2
4;5343;2
4;5144;2
