LR_raw;LR;SV_RAW;SV;DIST;SERIES
0;0;109;109;2;A: at leak origin
0;0;61;61;2;A: at leak origin
0;0;96;96;2;A: at leak origin
0;0;91;91;2;A: at leak origin
1;0,36;5710;5601;2;A: at leak origin
1;0,36;4567;4458;2;A: at leak origin
1;0,36;3355;3246;2;A: at leak origin
1;0,36;4474;4365;2;A: at leak origin
1;0,36;4842;4733;2;A: at leak origin
1;0,36;4368;4259;2;A: at leak origin
1;0,36;4661;4552;2;A: at leak origin
1;0,36;5036;4927;2;A: at leak origin
1;0,36;5236;5127;2;A: at leak origin
1;0,36;5220;5111;2;A: at leak origin
1;0,36;5566;5457;2;A: at leak origin
1;0,36;5896;5787;2;A: at leak origin
1;0,36;6219;6110;2;A: at leak origin
1;0,36;5536;5427;2;A: at leak origin
1;0,36;5107;4998;2;A: at leak origin
1;0,36;5833;5724;2;A: at leak origin
1;0,36;5108;4999;2;A: at leak origin
1;0,36;4695;4586;2;A: at leak origin
1;0,36;5135;5026;2;A: at leak origin
1;0,36;5015;4906;2;A: at leak origin
1;0,36;5647;5538;2;A: at leak origin
1;0,36;5914;5805;2;A: at leak origin
1;0,36;6032;5923;2;A: at leak origin
1;0,36;6276;6167;2;A: at leak origin
1;0,36;5887;5778;2;A: at leak origin
1;0,36;6418;6309;2;A: at leak origin
1;0,36;6238;6129;2;A: at leak origin
1;0,36;6077;5968;2;A: at leak origin
1;0,36;6400;6291;2;A: at leak origin
1;0,36;6329;6220;2;A: at leak origin
1;0,36;6215;6106;2;A: at leak origin
1;0,36;5900;5791;2;A: at leak origin
1;0,36;5959;5850;2;A: at leak origin
1;0,36;5754;5645;2;A: at leak origin
1;0,36;5897;5788;2;A: at leak origin
1;0,36;5651;5542;2;A: at leak origin
1;0,36;5638;5529;2;A: at leak origin
1;0,36;5480;5371;2;A: at leak origin
1;0,36;5449;5340;2;A: at leak origin
1;0,36;5381;5272;2;A: at leak origin
1;0,36;4914;4805;2;A: at leak origin
1;0,36;4697;4588;2;A: at leak origin
1;0,36;5596;5487;2;A: at leak origin
1;0,36;5564;5455;2;A: at leak origin
1;0,36;6101;5992;2;A: at leak origin
1;0,36;5912;5803;2;A: at leak origin
1;0,36;6300;6191;2;A: at leak origin
1;0,36;6099;5990;2;A: at leak origin
1;0,36;6158;6049;2;A: at leak origin
1;0,36;5936;5827;2;A: at leak origin
1;0,36;5694;5585;2;A: at leak origin
1;0,36;6041;5932;2;A: at leak origin
1;0,36;5959;5850;2;A: at leak origin
1;0,36;4890;4781;2;A: at leak origin
1;0,36;4453;4344;2;A: at leak origin
1;0,36;5211;5102;2;A: at leak origin
1;0,36;5316;5207;2;A: at leak origin
1;0,36;6196;6087;2;A: at leak origin
1;0,36;5521;5412;2;A: at leak origin
1;0,36;5968;5859;2;A: at leak origin
1;0,36;6281;6172;2;A: at leak origin
1;0,36;5779;5670;2;A: at leak origin
1;0,36;5136;5027;2;A: at leak origin
1;0,36;4558;4449;2;A: at leak origin
1;0,36;5337;5228;2;A: at leak origin
1;0,36;5537;5428;2;A: at leak origin
1;0,36;4824;4715;2;A: at leak origin
1;0,36;5432;5323;2;A: at leak origin
1;0,36;5458;5349;2;A: at leak origin
1;0,36;5679;5570;2;A: at leak origin
1;0,36;5415;5306;2;A: at leak origin
1;0,36;5956;5847;2;A: at leak origin
1;0,36;6273;6164;2;A: at leak origin
1;0,36;5605;5496;2;A: at leak origin
1;0,36;4870;4761;2;A: at leak origin
1;0,36;5895;5786;2;A: at leak origin
1;0,36;6338;6229;2;A: at leak origin
1;0,36;6144;6035;2;A: at leak origin
1;0,36;5813;5704;2;A: at leak origin
1;0,36;5690;5581;2;A: at leak origin
1;0,36;5659;5550;2;A: at leak origin
1;0,36;4846;4737;2;A: at leak origin
1;0,36;3954;3845;2;A: at leak origin
1;0,36;3874;3765;2;A: at leak origin
1;0,36;4790;4681;2;A: at leak origin
1;0,36;5058;4949;2;A: at leak origin
1;0,36;5258;5149;2;A: at leak origin
1;0,36;4012;3903;2;A: at leak origin
1;0,36;3223;3114;2;A: at leak origin
1;0,36;2453;2344;2;A: at leak origin
1;0,36;2960;2851;2;A: at leak origin
1;0,36;3803;3694;2;A: at leak origin
1;0,36;4997;4888;2;A: at leak origin
1;0,36;4274;4165;2;A: at leak origin
1;0,36;5828;5719;2;A: at leak origin
1;0,36;6175;6066;2;A: at leak origin
1;0,36;4902;4793;2;A: at leak origin
1;0,36;3151;3042;2;A: at leak origin
1;0,36;3914;3805;2;A: at leak origin
1;0,36;4622;4513;2;A: at leak origin
1;0,36;3593;3484;2;A: at leak origin
1;0,36;2913;2804;2;A: at leak origin
2;0,72;5941;5880;2;A: at leak origin
2;0,72;6325;6264;2;A: at leak origin
2;0,72;6551;6490;2;A: at leak origin
2;0,72;6247;6186;2;A: at leak origin
2;0,72;5908;5847;2;A: at leak origin
2;0,72;5442;5381;2;A: at leak origin
2;0,72;5196;5135;2;A: at leak origin
2;0,72;5154;5093;2;A: at leak origin
2;0,72;5704;5643;2;A: at leak origin
2;0,72;5551;5490;2;A: at leak origin
2;0,72;5400;5339;2;A: at leak origin
2;0,72;5322;5261;2;A: at leak origin
2;0,72;5250;5189;2;A: at leak origin
2;0,72;5999;5938;2;A: at leak origin
2;0,72;6320;6259;2;A: at leak origin
2;0,72;5428;5367;2;A: at leak origin
2;0,72;5081;5020;2;A: at leak origin
2;0,72;5622;5561;2;A: at leak origin
2;0,72;5886;5825;2;A: at leak origin
2;0,72;5579;5518;2;A: at leak origin
2;0,72;5287;5226;2;A: at leak origin
2;0,72;5959;5898;2;A: at leak origin
2;0,72;6058;5997;2;A: at leak origin
2;0,72;5702;5641;2;A: at leak origin
2;0,72;6258;6197;2;A: at leak origin
2;0,72;6208;6147;2;A: at leak origin
2;0,72;6106;6045;2;A: at leak origin
2;0,72;6288;6227;2;A: at leak origin
2;0,72;6459;6398;2;A: at leak origin
2;0,72;6104;6043;2;A: at leak origin
2;0,72;6394;6333;2;A: at leak origin
2;0,72;6449;6388;2;A: at leak origin
2;0,72;6112;6051;2;A: at leak origin
2;0,72;5783;5722;2;A: at leak origin
2;0,72;5745;5684;2;A: at leak origin
2;0,72;5729;5668;2;A: at leak origin
2;0,72;6571;6510;2;A: at leak origin
2;0,72;6396;6335;2;A: at leak origin
2;0,72;6551;6490;2;A: at leak origin
2;0,72;6467;6406;2;A: at leak origin
2;0,72;6526;6465;2;A: at leak origin
2;0,72;6436;6375;2;A: at leak origin
2;0,72;5949;5888;2;A: at leak origin
2;0,72;5083;5022;2;A: at leak origin
2;0,72;4868;4807;2;A: at leak origin
2;0,72;6018;5957;2;A: at leak origin
2;0,72;6072;6011;2;A: at leak origin
2;0,72;5732;5671;2;A: at leak origin
2;0,72;5490;5429;2;A: at leak origin
2;0,72;5139;5078;2;A: at leak origin
2;0,72;5903;5842;2;A: at leak origin
2;0,72;5484;5423;2;A: at leak origin
2;0,72;5352;5291;2;A: at leak origin
2;0,72;4942;4881;2;A: at leak origin
2;0,72;6142;6081;2;A: at leak origin
2;0,72;5948;5887;2;A: at leak origin
2;0,72;6038;5977;2;A: at leak origin
2;0,72;6133;6072;2;A: at leak origin
2;0,72;5670;5609;2;A: at leak origin
2;0,72;5922;5861;2;A: at leak origin
2;0,72;5574;5513;2;A: at leak origin
2;0,72;5513;5452;2;A: at leak origin
2;0,72;4939;4878;2;A: at leak origin
2;0,72;5054;4993;2;A: at leak origin
2;0,72;4537;4476;2;A: at leak origin
2;0,72;4861;4800;2;A: at leak origin
2;0,72;5133;5072;2;A: at leak origin
2;0,72;5239;5178;2;A: at leak origin
2;0,72;5557;5496;2;A: at leak origin
2;0,72;5825;5764;2;A: at leak origin
2;0,72;4870;4809;2;A: at leak origin
2;0,72;5211;5150;2;A: at leak origin
2;0,72;6073;6012;2;A: at leak origin
2;0,72;6238;6177;2;A: at leak origin
2;0,72;5594;5533;2;A: at leak origin
2;0,72;6049;5988;2;A: at leak origin
2;0,72;5872;5811;2;A: at leak origin
2;0,72;6120;6059;2;A: at leak origin
2;0,72;5317;5256;2;A: at leak origin
2;0,72;5444;5383;2;A: at leak origin
2;0,72;5691;5630;2;A: at leak origin
2;0,72;5776;5715;2;A: at leak origin
2;0,72;4688;4627;2;A: at leak origin
2;0,72;3692;3631;2;A: at leak origin
2;0,72;4777;4716;2;A: at leak origin
2;0,72;5416;5355;2;A: at leak origin
2;0,72;5069;5008;2;A: at leak origin
2;0,72;4638;4577;2;A: at leak origin
2;0,72;5245;5184;2;A: at leak origin
2;0,72;5659;5598;2;A: at leak origin
2;0,72;6282;6221;2;A: at leak origin
2;0,72;6063;6002;2;A: at leak origin
2;0,72;5818;5757;2;A: at leak origin
2;0,72;5278;5217;2;A: at leak origin
2;0,72;5854;5793;2;A: at leak origin
2;0,72;5687;5626;2;A: at leak origin
2;0,72;5299;5238;2;A: at leak origin
2;0,72;5196;5135;2;A: at leak origin
2;0,72;5450;5389;2;A: at leak origin
2;0,72;5135;5074;2;A: at leak origin
2;0,72;5305;5244;2;A: at leak origin
3;1,08;6011;5915;2;A: at leak origin
3;1,08;6370;6274;2;A: at leak origin
3;1,08;6110;6014;2;A: at leak origin
3;1,08;5967;5871;2;A: at leak origin
3;1,08;6083;5987;2;A: at leak origin
3;1,08;6427;6331;2;A: at leak origin
3;1,08;6095;5999;2;A: at leak origin
3;1,08;6199;6103;2;A: at leak origin
3;1,08;5756;5660;2;A: at leak origin
3;1,08;6189;6093;2;A: at leak origin
3;1,08;6550;6454;2;A: at leak origin
3;1,08;6533;6437;2;A: at leak origin
3;1,08;6096;6000;2;A: at leak origin
3;1,08;6272;6176;2;A: at leak origin
3;1,08;5828;5732;2;A: at leak origin
3;1,08;5941;5845;2;A: at leak origin
3;1,08;5880;5784;2;A: at leak origin
3;1,08;5680;5584;2;A: at leak origin
3;1,08;5195;5099;2;A: at leak origin
3;1,08;5289;5193;2;A: at leak origin
3;1,08;5842;5746;2;A: at leak origin
3;1,08;5636;5540;2;A: at leak origin
3;1,08;5208;5112;2;A: at leak origin
3;1,08;5241;5145;2;A: at leak origin
3;1,08;5582;5486;2;A: at leak origin
3;1,08;5313;5217;2;A: at leak origin
3;1,08;5704;5608;2;A: at leak origin
3;1,08;5749;5653;2;A: at leak origin
3;1,08;5152;5056;2;A: at leak origin
3;1,08;5171;5075;2;A: at leak origin
3;1,08;5282;5186;2;A: at leak origin
3;1,08;5397;5301;2;A: at leak origin
3;1,08;5191;5095;2;A: at leak origin
3;1,08;5324;5228;2;A: at leak origin
3;1,08;5064;4968;2;A: at leak origin
3;1,08;5511;5415;2;A: at leak origin
3;1,08;5186;5090;2;A: at leak origin
3;1,08;5036;4940;2;A: at leak origin
3;1,08;5191;5095;2;A: at leak origin
3;1,08;5193;5097;2;A: at leak origin
3;1,08;5325;5229;2;A: at leak origin
3;1,08;6439;6343;2;A: at leak origin
3;1,08;6178;6082;2;A: at leak origin
3;1,08;5581;5485;2;A: at leak origin
3;1,08;5232;5136;2;A: at leak origin
3;1,08;5583;5487;2;A: at leak origin
3;1,08;6375;6279;2;A: at leak origin
3;1,08;5441;5345;2;A: at leak origin
3;1,08;5843;5747;2;A: at leak origin
3;1,08;5449;5353;2;A: at leak origin
3;1,08;5600;5504;2;A: at leak origin
3;1,08;6252;6156;2;A: at leak origin
3;1,08;6151;6055;2;A: at leak origin
3;1,08;6421;6325;2;A: at leak origin
3;1,08;6533;6437;2;A: at leak origin
3;1,08;6417;6321;2;A: at leak origin
3;1,08;6307;6211;2;A: at leak origin
3;1,08;6481;6385;2;A: at leak origin
3;1,08;6557;6461;2;A: at leak origin
3;1,08;6417;6321;2;A: at leak origin
3;1,08;6162;6066;2;A: at leak origin
3;1,08;5871;5775;2;A: at leak origin
3;1,08;6055;5959;2;A: at leak origin
3;1,08;5551;5455;2;A: at leak origin
3;1,08;5914;5818;2;A: at leak origin
3;1,08;5642;5546;2;A: at leak origin
3;1,08;6133;6037;2;A: at leak origin
3;1,08;6337;6241;2;A: at leak origin
3;1,08;5640;5544;2;A: at leak origin
3;1,08;5558;5462;2;A: at leak origin
3;1,08;5512;5416;2;A: at leak origin
3;1,08;5248;5152;2;A: at leak origin
3;1,08;5647;5551;2;A: at leak origin
3;1,08;5904;5808;2;A: at leak origin
3;1,08;6072;5976;2;A: at leak origin
3;1,08;6420;6324;2;A: at leak origin
3;1,08;6153;6057;2;A: at leak origin
3;1,08;5844;5748;2;A: at leak origin
3;1,08;5938;5842;2;A: at leak origin
3;1,08;6370;6274;2;A: at leak origin
3;1,08;6799;6703;2;A: at leak origin
3;1,08;6761;6665;2;A: at leak origin
3;1,08;6269;6173;2;A: at leak origin
3;1,08;6256;6160;2;A: at leak origin
3;1,08;6100;6004;2;A: at leak origin
3;1,08;6147;6051;2;A: at leak origin
3;1,08;6255;6159;2;A: at leak origin
3;1,08;6204;6108;2;A: at leak origin
3;1,08;6254;6158;2;A: at leak origin
3;1,08;6119;6023;2;A: at leak origin
3;1,08;5562;5466;2;A: at leak origin
3;1,08;5291;5195;2;A: at leak origin
3;1,08;5884;5788;2;A: at leak origin
3;1,08;5552;5456;2;A: at leak origin
3;1,08;5272;5176;2;A: at leak origin
3;1,08;5469;5373;2;A: at leak origin
3;1,08;5465;5369;2;A: at leak origin
3;1,08;6227;6131;2;A: at leak origin
3;1,08;6189;6093;2;A: at leak origin
3;1,08;6117;6021;2;A: at leak origin
3;1,08;6425;6329;2;A: at leak origin
3;1,08;6352;6256;2;A: at leak origin
4;1,44;5917;5826;2;A: at leak origin
4;1,44;5628;5537;2;A: at leak origin
4;1,44;5703;5612;2;A: at leak origin
4;1,44;5986;5895;2;A: at leak origin
4;1,44;6033;5942;2;A: at leak origin
4;1,44;6177;6086;2;A: at leak origin
4;1,44;5583;5492;2;A: at leak origin
4;1,44;5326;5235;2;A: at leak origin
4;1,44;5405;5314;2;A: at leak origin
4;1,44;5914;5823;2;A: at leak origin
4;1,44;5489;5398;2;A: at leak origin
4;1,44;6244;6153;2;A: at leak origin
4;1,44;6609;6518;2;A: at leak origin
4;1,44;6296;6205;2;A: at leak origin
4;1,44;6528;6437;2;A: at leak origin
4;1,44;6490;6399;2;A: at leak origin
4;1,44;6169;6078;2;A: at leak origin
4;1,44;6561;6470;2;A: at leak origin
4;1,44;6237;6146;2;A: at leak origin
4;1,44;6004;5913;2;A: at leak origin
4;1,44;5982;5891;2;A: at leak origin
4;1,44;6090;5999;2;A: at leak origin
4;1,44;5989;5898;2;A: at leak origin
4;1,44;6232;6141;2;A: at leak origin
4;1,44;6040;5949;2;A: at leak origin
4;1,44;5668;5577;2;A: at leak origin
4;1,44;5558;5467;2;A: at leak origin
4;1,44;5804;5713;2;A: at leak origin
4;1,44;5629;5538;2;A: at leak origin
4;1,44;6044;5953;2;A: at leak origin
4;1,44;6124;6033;2;A: at leak origin
4;1,44;6132;6041;2;A: at leak origin
4;1,44;6351;6260;2;A: at leak origin
4;1,44;5713;5622;2;A: at leak origin
4;1,44;5922;5831;2;A: at leak origin
4;1,44;5553;5462;2;A: at leak origin
