LR;SV_RAW;SV;DIST;SERIES
0;50;50;2;at noozle
0,0144;19453;19403;2;at noozle
0,0144;19360;19310;2;at noozle
0,0144;21787;21737;2;at noozle
0,0144;11239;11189;2;at noozle
0,0144;6206;6156;2;at noozle
0,0144;6685;6635;2;at noozle
0,0144;8915;8865;2;at noozle
0,0144;7655;7605;2;at noozle
0,0144;7424;7374;2;at noozle
0,0144;9693;9643;2;at noozle
0,0144;28482;28432;2;at noozle
0,0144;25228;25178;2;at noozle
0,0144;16238;16188;2;at noozle
0,0144;12740;12690;2;at noozle
0,0144;12598;12548;2;at noozle
0,0144;13628;13578;2;at noozle
0,0144;12546;12496;2;at noozle
0,0144;14431;14381;2;at noozle
0,0144;14250;14200;2;at noozle
0,0144;14166;14116;2;at noozle
0,0144;12796;12746;2;at noozle
0,0144;14176;14126;2;at noozle
0,0144;14724;14674;2;at noozle
0,0144;17946;17896;2;at noozle
0,0144;16681;16631;2;at noozle
0,0144;18347;18297;2;at noozle
0,0144;19034;18984;2;at noozle
0,0144;20734;20684;2;at noozle
0,0144;30489;30439;2;at noozle
0,0144;27804;27754;2;at noozle
0,0144;29371;29321;2;at noozle
0,0144;31610;31560;2;at noozle
0,0144;28285;28235;2;at noozle
0,0144;26824;26774;2;at noozle
0,0144;28478;28428;2;at noozle
0,0144;29102;29052;2;at noozle
0,0144;27469;27419;2;at noozle
0,0144;17281;17231;2;at noozle
0,0144;10062;10012;2;at noozle
0,0144;8351;8301;2;at noozle
0,0144;8632;8582;2;at noozle
0,0144;10396;10346;2;at noozle
0,0144;12256;12206;2;at noozle
0,0144;14109;14059;2;at noozle
0,0144;17551;17501;2;at noozle
0,0144;28033;27983;2;at noozle
0,0144;31062;31012;2;at noozle
0,0144;28706;28656;2;at noozle
0,0144;28776;28726;2;at noozle
0,0144;31526;31476;2;at noozle
0,0144;24227;24177;2;at noozle
0,0144;21184;21134;2;at noozle
0,0144;23545;23495;2;at noozle
0,0144;26948;26898;2;at noozle
0,0144;23788;23738;2;at noozle
0,0144;40422;40372;2;at noozle
0,0144;23464;23414;2;at noozle
0,0144;23167;23117;2;at noozle
0,0144;18495;18445;2;at noozle
0,0144;13201;13151;2;at noozle
0,0144;11565;11515;2;at noozle
0,0144;10932;10882;2;at noozle
0,0144;11031;10981;2;at noozle
0,0144;10220;10170;2;at noozle
0,0144;13189;13139;2;at noozle
0,0144;24645;24595;2;at noozle
0,0144;34874;34824;2;at noozle
0,0144;22499;22449;2;at noozle
0,0144;25009;24959;2;at noozle
0,0144;32186;32136;2;at noozle
0,0144;24865;24815;2;at noozle
0,0144;31668;31618;2;at noozle
0,0144;31001;30951;2;at noozle
0,0144;37208;37158;2;at noozle
0,0144;30774;30724;2;at noozle
0,0144;27688;27638;2;at noozle
0,0144;26733;26683;2;at noozle
0,0144;25128;25078;2;at noozle
0,0144;25201;25151;2;at noozle
0,0144;28498;28448;2;at noozle
0,0144;25069;25019;2;at noozle
0,0144;29404;29354;2;at noozle
0,0144;39656;39606;2;at noozle
0,0144;26600;26550;2;at noozle
0,0144;28686;28636;2;at noozle
0,0144;27629;27579;2;at noozle
0,0144;22890;22840;2;at noozle
0,0144;16070;16020;2;at noozle
0,0144;15425;15375;2;at noozle
0,0144;15438;15388;2;at noozle
