LR_O2 l\h;LR_CH4_g\hr;LR;LR percent;SV_RAW;SV;DIST;SERIES;SPLIT
0;0;0;0;60;60;2;at point;0,5
0;0;0;0;231;231;2;at point;1
0;0;0;0;545;545;4;at point;0,5
0;0;0;0;626;626;4;at point;1
0;0;0;0;196;196;2;5cm upper;0,5
0;0;0;0;266;266;2;5cm upper;1
0;0;0;0;621;621;4;5cm upper;0,5
0;0;0;0;661;661;4;5cm upper;1
0,0144;2,88576;3;20;2197;2137;2;at point;0,5
0,0144;2,88576;3;20;2149;2089;2;at point;0,5
0,0144;2,88576;3;20;1973;1913;2;at point;0,5
0,0144;2,88576;3;20;1871;1811;2;at point;0,5
0,0144;2,88576;3;20;1914;1854;2;at point;0,5
0,0144;2,88576;3;20;2122;2062;2;at point;0,5
0,0144;2,88576;3;20;2389;2329;2;at point;0,5
0,0144;2,88576;3;20;2452;2392;2;at point;0,5
0,0144;2,88576;3;20;2602;2542;2;at point;0,5
0,0144;2,88576;3;20;2541;2481;2;at point;0,5
0,0144;2,88576;3;20;2425;2365;2;at point;0,5
0,0144;2,88576;3;20;2258;2198;2;at point;0,5
0,0144;2,88576;3;20;2036;1976;2;at point;0,5
0,0144;2,88576;3;20;2412;2352;2;at point;0,5
0,0144;2,88576;3;20;2254;2194;2;at point;0,5
0,0144;2,88576;3;20;1977;1917;2;at point;0,5
0,0144;2,88576;3;20;2042;1982;2;at point;0,5
0,0144;2,88576;3;20;2338;2278;2;at point;0,5
0,0144;2,88576;3;20;2747;2687;2;at point;0,5
0,0144;2,88576;3;20;2754;2694;2;at point;0,5
0,0144;2,88576;3;20;2623;2563;2;at point;0,5
0,0144;2,88576;3;20;2519;2459;2;at point;0,5
0,0144;2,88576;3;20;2203;2143;2;at point;0,5
0,0144;2,88576;3;20;2205;2145;2;at point;0,5
0,0144;2,88576;3;20;2603;2543;2;at point;0,5
0,0144;2,88576;3;20;2677;2617;2;at point;0,5
0,0144;2,88576;3;20;2371;2311;2;at point;0,5
0,0144;2,88576;3;20;2416;2356;2;at point;0,5
0,0144;2,88576;3;20;2289;2229;2;at point;0,5
0,0144;2,88576;3;20;2347;2287;2;at point;0,5
0,0144;2,88576;3;20;3154;3094;2;at point;0,5
0,0144;2,88576;3;20;3406;3346;2;at point;0,5
0,0144;2,88576;3;20;2844;2784;2;at point;0,5
0,0144;2,88576;3;20;2526;2466;2;at point;0,5
0,0144;2,88576;3;20;2347;2287;2;at point;0,5
0,0144;2,88576;3;20;2222;2162;2;at point;0,5
0,0144;2,88576;3;20;2181;2121;2;at point;0,5
0,0144;2,88576;3;20;2126;2066;2;at point;0,5
0,0144;2,88576;3;20;2021;1961;2;at point;0,5
0,0144;2,88576;3;20;2046;1986;2;at point;0,5
0,0144;2,88576;3;20;2242;2182;2;at point;0,5
0,0144;2,88576;3;20;2391;2331;2;at point;0,5
0,0144;2,88576;3;20;2311;2251;2;at point;0,5
0,0144;2,88576;3;20;1978;1918;2;at point;0,5
0,0144;2,88576;3;20;2141;2081;2;at point;0,5
0,0144;2,88576;3;20;2042;1982;2;at point;0,5
0,0144;2,88576;3;20;1998;1938;2;at point;0,5
0,0144;2,88576;3;20;2059;1999;2;at point;0,5
0,0144;2,88576;3;20;2139;2079;2;at point;0,5
0,0144;2,88576;3;20;2107;2047;2;at point;0,5
0,0144;2,88576;3;20;2078;2018;2;at point;0,5
0,0144;2,88576;3;20;2060;2000;2;at point;0,5
0,0144;2,88576;3;20;1840;1780;2;at point;0,5
0,0144;2,88576;3;20;2004;1944;2;at point;0,5
0,0144;2,88576;3;20;2125;2065;2;at point;0,5
0,0144;2,88576;3;20;1862;1802;2;at point;0,5
0,0144;2,88576;3;20;1743;1683;2;at point;0,5
0,0144;2,88576;3;20;1794;1734;2;at point;0,5
0,0144;2,88576;3;20;1796;1736;2;at point;0,5
0,0144;2,88576;3;20;1800;1740;2;at point;0,5
0,0144;2,88576;3;20;2149;2089;2;at point;0,5
0,0144;2,88576;3;20;2172;2112;2;at point;0,5
0,0144;2,88576;3;20;2086;2026;2;at point;0,5
0,0144;2,88576;3;20;1986;1926;2;at point;0,5
0,0144;2,88576;3;20;1984;1924;2;at point;0,5
0,0144;2,88576;3;20;1953;1893;2;at point;0,5
0,0144;2,88576;3;20;1881;1821;2;at point;0,5
0,0144;2,88576;3;20;1857;1797;2;at point;0,5
0,0144;2,88576;3;20;1890;1830;2;at point;0,5
0,0144;2,88576;3;20;2930;2870;2;at point;0,5
0,0144;2,88576;3;20;2392;2332;2;at point;0,5
0,0144;2,88576;3;20;1926;1866;2;at point;0,5
0,0144;2,88576;3;20;1990;1930;2;at point;0,5
